Tweets,Category
b'@warrenbhai We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@pankajandnabh We have informed @ThaneCityPolice . Request you to contact them for further updates.',Governmental
b'@RK_MISTRY Thank you for sharing this with us. We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@write2kashmira Please visit the nearest police station for further support.',Governmental
b'@RK_MISTRY Please share proper vehicle number and location details.',Governmental
b'@wowindian We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@smitaparikh4 Please visit the nearest police station immediately for further support.',Governmental
b'@SiddharthJNP We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@harshjani0072 We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@rajeshmohile Please share exact location details.',Governmental
b'@gokulrspeaks We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@viewsreviews Thank you for sharing this with us. We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@parthgoradia13 We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@harshjani0072 Please share exact location details.',Governmental
b'@Ravi82808837 We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@OmnitzTours We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@Zahedshayari We have informed @Palghar_Police . Request you to contact them on 02525-297004 / 23 for further updates.',Governmental
b'@sandeepdhruva We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@jaincaPradeep Thank You for sharing this with us. Please do not share any banking information with unknown people... https://t.co/TOmhiJfwC7',Governmental
b'@SaDaRaut We understand your inconvenience. We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@ruchirmashru We have informed @Palghar_Police . Request you to contact them on 8669604100 for further updates.',Governmental
b'@sunnyfunnyboy Thank you for sharing this with us. We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@ruchirmashru We have forwarded your query to the @Thane_R_Police (Rural) as they shall be able to help you better.... https://t.co/tELiDNTtMs',Governmental
b'@arpitalahiri44 We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
