category,handle,sub_category
Society,JaagoRe,CSR
Society,ril_foundation,CSR
Society,codechef,CSR
Society,PVR_NEST,CSR
Society,VibrantGujarat,Conference
Society,AdvantageAssam,Conference
Society,BengalSummit,Conference
Society,InvestInUp,Conference
Society,iimc_intaglio,Conference
Society,IIM_Calcutta,University
Society,MICA_Ahmedabad,University
Society,iitmadras,University
Society,IIM_I,University
Society,UPESDehradun,University
Society,VIT_univ,University
Society,AmityUni,University
Society,TalentedgeEdu,University
Society,IBSIndia1,University
Society,BIMTECHNoida,University
Society,arthsastra,University
Society,IMT_Nagpur,University
Society,jaipurarch,University
Society,JUFET,University
Society,AegisSchool,University
Society,CCE_UPES,University
Society,Spsu_Udaipur,University
Society,TSMMADURAI,University
Society,MadaFashion,University
Society,adgpi,Governmental
Society,MumbaiPolice,Governmental
Society,makeinindia,Governmental
Society,RailMinIndia,Governmental
Society,CPMumbaiPolice,Governmental
Society,NITIAayog,Governmental
Society,mygovindia,Governmental
Society,HRDMinistry,Governmental
Society,isro,Governmental
Society,IndianDiplomacy,Governmental
Society,BlrCityPolice,Governmental
Society,dtptraffic,Governmental
Society,FinMinIndia,Governmental
Society,_DigitalIndia,Governmental
Society,MIB_India,Governmental
Society,NTMCLantasPolri,Governmental
Society,MoHFW_INDIA,Governmental
Society,CPBlr,Governmental
Society,CMOMaharashtra,Governmental
Society,UPGovt,Governmental
Society,KolkataPolice,Governmental
Society,CMofKarnataka,Governmental
Society,MarsOrbiter,Governmental
Society,uptourismgov,Governmental
Society,AndhraPradeshCM,Governmental
Society,MinistryWCD,Governmental
Society,SpokespersonMoD,Governmental
Society,startupindia,Governmental
Society,GovtOfPunjab,Governmental
Society,BSF_India,Governmental
Society,pcraindia,Governmental
Society,UIDAI,Governmental
Society,WBPolice,Governmental
Society,PetroleumMin,Governmental
Society,worldfoodindia,Governmental
Society,DRDO_India,Governmental
Society,RajCMO,Governmental
Society,UNinIndia,Governmental
Society,NSDCINDIA,Governmental
Society,IndianEmbKabul,Governmental
Society,USAndIndia,Governmental
