city_name,city_percentage,city_value
Satara,0.102166531446,34
Kavali,0.00901469395114,3
Jamnagar,0.147240001202,49
Sultan Pur Majra,0.0,0
Mysore,0.363592656029,121
Thane,0.402656329818,134
Rohtak,0.195318368941,65
Surat,1.53550286968,511
Firozabad,0.126205715316,42
Jalandhar,0.219357552811,73
Muzaffarnagar,0.249406532648,83
Danapur,0.0240391838697,8
Baharampur,0.00300489798371,1
Ozhukarai,0.0,0
Bhopal,1.26205715316,420
North Dumdum,0.0,0
Kulti,0.00600979596743,2
Rourkela,0.0901469395114,30
Chennai,2.1394873644,712
Noida,1.65870368701,552
Gudivada,0.00600979596743,2
Tiruppur,0.132215511283,44
Guntakal,0.0180293879023,6
Bokaro,0.156254695153,52
Deoghar,0.0901469395114,30
Shivpuri,0.111181225397,37
Mathura,0.348568166111,116
Chandrapur,0.0871420415277,29
Nagarcoil,0.00300489798371,1
Bhind,0.0661077556417,22
Kochi,0.021034285886,7
Avadi,0.021034285886,7
Khandwa,0.0721175516091,24
Patiala,0.147240001202,49
Ahmedabad,0.435710207638,145
Bellary,0.0691126536254,23
Purnia,0.138225307251,46
Ajmer,0.29147510442,97
Motihari,0.366597554013,122
Hugli,0.0,0
Haldia,0.0480783677394,16
Bettiah,0.138225307251,46
Nagpur,0.754229393912,251
Gwalior,0.600979596743,200
Saharanpur,0.306499594339,102
Berhampur,0.0691126536254,23
Darbhanga,0.342558370143,114
Ahmednagar,0.0510832657231,17
Bikaner,0.270440818534,90
Vellore,0.10517142943,35
Chapra,0.0661077556417,22
Nanded,0.180293879023,60
Jammu,1.33417470477,444
Bathinda,0.084137143544,28
Vijayawada,0.342558370143,114
Shivamogga,0.0150244899186,5
Narasaraopet,0.0240391838697,8
Dindigul,0.0901469395114,30
Madanapalle,0.0330538778208,11
Madhyamgram,0.00600979596743,2
Kanpur,1.40028246041,466
Nizamabad,0.102166531446,34
Rajpur Sonarpur,0.0,0
Yamunanagar,0.126205715316,42
Davanagere,0.135220409267,45
Bhilwara,0.240391838697,80
Khora,0.00300489798371,1
Ramagundam,0.021034285886,7
Tiruvottiyur,0.0,0
Ujjain,0.273445716518,91
Bhalswa Jahangir Pur,0.0,0
Gandhinagar,0.168274287088,56
Gopalpur,0.00901469395114,3
Kota,0.591964902792,197
Ongole,0.0721175516091,24
Agra,0.84137143544,280
Loni,0.0570930616906,19
Kurnool,0.177288981039,59
Durgapur,0.117191021365,39
Parbhani,0.0510832657231,17
Raichur,0.102166531446,34
Bardhaman,0.111181225397,37
Jalgaon,0.156254695153,52
Maheshtala,0.0,0
Adoni,0.0360587758046,12
Agartala,0.201328164909,67
Vijayanagaram,0.00901469395114,3
Kirari Suleman Nagar,0.00300489798371,1
Amritsar,0.180293879023,60
Srikakulam,0.0721175516091,24
Tiruchirappalli,0.00901469395114,3
Warangal,0.285465308453,95
Kolkata,3.26932900628,1088
Tirunelveli,0.162264491121,54
Proddatur,0.0180293879023,6
Kozhikode,0.0781273475765,26
Rampur,0.342558370143,114
Bahraich,0.111181225397,37
Sasaram,0.0991616334625,33
Coimbatore,0.646053066498,215
Gurgaon,1.26506205114,421
Ludhiana,0.486793473362,162
Jodhpur,0.820337149554,273
Muzaffarpur,0.351573064094,117
Satna,0.0871420415277,29
Karnal,0.195318368941,65
Amravati,0.153249797169,51
Burhanpur,0.042068571772,14
Meerut,0.588960004808,196
Karawal Nagar,0.0150244899186,5
Dewas,0.111181225397,37
Bangalore,0.676102046336,225
Bihar Sharif,0.147240001202,49
Anantapur,0.156254695153,52
Lucknow,3.14011839298,1045
Unnao,0.138225307251,46
Pimpri-Chinchwad,0.0,0
Bhiwandi,0.117191021365,39
Bhatpara,0.0,0
Saharsa,0.126205715316,42
Baranagar,0.0,0
Raiganj,0.0390636737883,13
Cuttack,0.270440818534,90
Alappuzha,0.0390636737883,13
